id,name,team,age,height,games,points,rebounds,assists
159,Dontonio Wingfield,POR,23,203.2,47,4.5,2.9,1
160,Donyell Marshall,GSW,24,205.74,61,7.3,4.5,0.9
161,Doug Christie,TOR,27,198.12,81,14.5,5.3,3.9
162,Doug Overton,PHI,27,190.5,61,3.6,1.1,1.7
163,Doug West,MIN,30,198.12,68,7.8,2.2,1.7
164,Duane Causwell,SAC,29,213.36,46,2.6,2.8,0.4
165,Duane Ferrell,IND,32,200.66,62,6.4,2.3,1.1
166,Dwayne Schintzius,LAC,28,215.9,15,2.3,1.5,0.3
167,Earl Cureton,TOR,39,205.74,9,0.8,1,0.4
168,Ed O'Bannon,DAL,24,203.2,64,3.7,2.3,0.6
169,Devin Gray,SAS,25,200.66,6,3,2.3,0.3
170,Jud Buechler,CHI,29,198.12,76,1.8,1.7,0.8
171,Detlef Schrempf,SEA,34,208.28,61,16.8,6.5,4.4
172,Derrick Coleman,PHI,30,208.28,57,18.1,10.1,3.4
173,Danny Ferry,CLE,30,208.28,82,10.6,4.1,1.8
174,Danny Manning,PHX,31,208.28,77,13.5,6.1,2.2
175,Darrell Armstrong,ORL,29,185.42,67,6.1,1.1,2.6
176,Darrick Martin,LAC,26,180.34,82,10.9,1.4,4.1
177,Darrin Hancock,ATL,25,200.66,24,1.8,0.8,0.5
178,Darvin Ham,IND,23,200.66,36,2.3,1.6,0.4
179,David Robinson,SAS,31,215.9,6,17.7,8.5,1.3
180,David Vaughn,ORL,24,205.74,35,2.3,2.7,0.2
181,David Wesley,BOS,26,185.42,74,16.8,3.6,7.3
182,David Wingate,SEA,33,195.58,65,3.6,1.1,1.2
183,David Wood,MIL,32,205.74,46,1.2,0.6,0.3
184,Dean Garrett,MIN,30,210.82,68,8,7.3,0.6
185,Dee Brown,BOS,28,187.96,21,7.6,2.3,3.2
186,Dell Curry,CHH,33,195.58,68,14.8,3.1,1.7
187,Dell Demps,ORL,27,190.5,2,1,0,0
188,Dennis Rodman,CHI,36,198.12,55,5.7,16.1,3.1
189,Dennis Scott,ORL,28,203.2,66,12.5,3.1,2.1
190,Derek Fisher,LAL,22,185.42,80,3.9,1.2,1.5
191,Derek Harper,DAL,35,193.04,75,10,1.8,4.3
192,Derek Strong,ORL,29,205.74,82,8.5,6.3,0.9
193,Derrick Alston,ATL,24,210.82,2,0,2,0
194,Derrick McKey,IND,30,205.74,50,8,4.8,2.7
195,Brett Szabo,BOS,29,210.82,70,2.2,2.4,0.2
196,Juwan Howard,WAS,24,205.74,82,19.1,8,3.8
197,Keith Askins,MIA,29,203.2,78,4.9,3.5,1
198,Scott Burrell,GSW,26,200.66,57,5.2,2.8,1.3
199,Scott Williams,PHI,29,208.28,62,5.8,6.4,0.7
200,Scottie Pippen,CHI,31,200.66,82,20.2,6.5,5.7
201,Sean Elliott,SAS,29,203.2,39,14.9,4.9,3.2
202,Sean Rooks,LAL,27,208.28,69,3.8,2.4,0.6
203,Sedale Threatt,HOU,35,187.96,21,3.3,1.1,1.9
204,Shandon Anderson,UTA,23,198.12,65,5.9,2.8,0.8
205,Shane Heal,MIN,26,182.88,43,1.7,0.4,0.8
206,Shaquille O'Neal,LAL,25,215.9,51,26.2,12.5,3.1
207,Scott Brooks,NYK,31,180.34,38,1.5,0.5,0.8
208,Shareef Abdur-Rahim,VAN,20,205.74,80,18.7,6.9,2.2
209,Shawn Bradley,DAL,25,228.6,73,13.2,8.4,0.7
210,Shawn Kemp,SEA,27,208.28,81,18.7,10,1.9
211,Shawn Respert,TOR,25,187.96,41,4.2,1,1
212,Shawnelle Scott,CLE,25,210.82,16,1.3,1,0
213,Sherman Douglas,MIL,30,185.42,79,9.7,2.4,5.4
214,Stacey Augmon,POR,28,203.2,60,4.7,2.3,0.9
215,Stacey King,DAL,30,210.82,11,2.2,2.5,0.1
216,Stanley Roberts,LAC,27,213.36,18,9.5,5.1,0.5
217,Stephen Howard,UTA,26,205.74,49,3.6,1.7,0.2
218,Sharone Wright,TOR,24,210.82,60,6.5,3.1,0.5
219,Sasha Danilovic,DAL,27,198.12,56,12.5,2.4,1.8
220,Sarunas Marciulionis,DEN,33,195.58,17,6.8,1.8,1.5
221,Samaki Walker,DAL,21,205.74,43,4.9,3.4,0.4
222,Rex Walters,PHI,27,193.04,59,6.8,1.8,1.9
223,Richard Manning,LAC,27,210.82,26,2.9,1.5,0.1
224,Rick Fox,BOS,27,200.66,76,15.4,5.2,3.8
225,Rick Mahorn,DET,38,208.28,22,2.5,2.4,0.3
226,Ricky Pierce,CHH,37,193.04,60,11,2,1.3
227,Rik Smits,IND,30,223.52,52,17.1,6.9,1.3
228,Robert Horry,LAL,26,208.28,54,7.8,4.4,2
229,Robert Pack,DAL,28,187.96,54,14.3,2.7,8.4
230,Robert Parish,CHI,43,215.9,43,3.7,2.1,0.5
231,Robert Werdann,NJN,26,210.82,6,1.5,1,0
232,Rod Strickland,WAS,30,190.5,82,17.2,4.1,8.9
233,Rodney Rogers,LAC,26,200.66,81,13.2,5.1,2.7
234,Ron Harper,CHI,33,198.12,76,6.3,2.5,2.5
235,Rony Seikaly,ORL,32,210.82,74,17.3,9.5,1.2
236,Roy Rogers,VAN,23,208.28,82,6.6,4.7,0.6
237,Ruben Nembhard,POR,25,190.5,10,4,0.8,1.7
238,Rumeal Robinson,POR,30,187.96,54,3.3,0.9,1.4
239,Sam Cassell,NJN,27,190.5,61,15.9,3,5
240,Sam Mack,HOU,27,200.66,52,5.6,2,1.1
241,Sam Mitchell,MIN,33,200.66,82,9.3,4,1
242,Sam Perkins,SEA,36,205.74,81,11,3.7,1.3
243,Stephon Marbury,MIN,20,187.96,67,15.8,2.7,7.8
244,Rex Chapman,PHX,29,193.04,65,13.8,2.8,2.8
245,Steve Hamer,BOS,23,213.36,35,2.2,1.7,0.2
246,Steve Nash,PHX,23,190.5,65,3.3,1,2.1
247,Willie Anderson,MIA,30,203.2,28,3,1.5,1.2
248,Will Perdue,SAS,31,213.36,65,8.7,9.8,0.6
249,Wesley Person,PHX,26,198.12,80,13.5,3.7,1.5
250,Wayman Tisdale,PHX,33,205.74,53,6.5,2.3,0.4
251,Walter McCarty,NYK,23,208.28,35,1.8,0.7,0.4
252,Walt Williams,TOR,27,203.2,73,16.4,5,2.7
253,Voshon Lenard,MIA,24,193.04,73,12.3,3,2.2
254,Vlade Divac,CHH,29,215.9,81,12.6,9,3.7
255,Vitaly Potapenko,CLE,22,208.28,80,5.8,2.7,0.5
256,Willie Burton,ATL,29,203.2,24,6.2,1.7,0.5
257,Vinny Del Negro,SAS,30,193.04,72,12.3,2.9,3.2
258,Vin Baker,MIL,25,210.82,78,21,10.3,2.7
259,Vernon Maxwell,SAS,31,193.04,72,12.9,2.2,2.1
260,Tyus Edney,SAC,24,177.8,70,6.9,1.6,3.2
261,Tyrone Hill,CLE,29,205.74,74,12.9,9.9,1.2
262,Tyrone Corbin,ATL,34,198.12,70,9.5,4.2,1.8
263,Travis Knight,LAL,22,213.36,71,4.8,4.5,0.5
264,Travis Best,IND,24,180.34,76,9.9,2.2,4.2
265,Tracy Murray,WAS,25,200.66,82,10,3.1,1
266,Tracy Moore,HOU,31,193.04,27,3.7,1,0.7
267,Vincent Askew,DEN,31,198.12,43,5.6,2.3,2.1
268,Xavier McDaniel,NJN,34,200.66,62,5.6,5.1,1
269,Yinka Dare,NJN,24,213.36,41,1.4,2,0.1
270,Zan Tabak,TOR,27,213.36,13,6.5,3.8,1.1
271,Steve Scheffler,SEA,29,205.74,7,1.6,0.4,0
272,Steven Smith,ATL,28,203.2,72,20.1,3.3,4.2
273,Stevin Smith,DAL,25,187.96,8,1.8,1.3,0.5
274,Stojko Vrankovic,MIN,33,218.44,53,3.4,3.2,0.3
275,Terrell Brandon,CLE,27,180.34,78,19.5,3.9,6.3
276,Terry Cummings,SEA,36,205.74,45,8.2,4.1,0.9
277,Terry Dehere,LAC,25,193.04,73,6.4,1.3,2.2
278,Terry Mills,DET,29,208.28,79,10.8,4.8,1.3
279,Terry Porter,MIN,34,190.5,82,6.9,2.1,3.6
280,Theo Ratliff,DET,24,208.28,76,5.8,3.4,0.2
281,Tim Hardaway,MIA,30,182.88,81,20.3,3.4,8.6
282,Tim Kempton,SAS,33,208.28,10,0.4,0.8,0.2
