id,name,team,age,height,games,points,rebounds,assists
7350,Deron Williams,BKN,29,190.5,78,18.9,3,7.7
7351,Chris Singleton,WAS,23,203.2,57,4.1,3.2,0.6
7352,Darrell Arthur,MEM,25,205.74,59,6.1,2.9,0.6
7353,Darius Morris,LAL,22,193.04,48,4,1.2,1.6
7354,Chris Wright,DAL,23,185.42,3,0.7,0,0
7355,Chuck Hayes,SAC,30,198.12,74,2.7,4,1.5
7356,Cole Aldrich,SAC,24,210.82,45,2.2,2.7,0.2
7357,Corey Brewer,DEN,27,205.74,82,12.1,2.9,1.5
7358,Corey Maggette,DET,33,198.12,18,5.3,1.4,1.1
7359,Cory Higgins,CHA,24,195.58,6,2.3,0.5,0.8
7360,Cory Joseph,SAS,21,190.5,28,4.5,1.9,1.9
7361,Courtney Lee,BOS,27,195.58,78,7.8,2.4,1.8
7362,D.J. Augustin,IND,25,182.88,76,4.7,1.2,2.2
7363,DJ White,BOS,26,205.74,12,2.4,1.1,0.3
7364,DaJuan Summers,LAC,25,203.2,2,1,1,0.5
7365,Darko Milicic,BOS,28,213.36,1,0,1,0
7366,Daequan Cook,CHI,26,195.58,49,2.8,1.2,0.4
7367,Damian Lillard,POR,22,190.5,82,19,3.1,6.5
7368,Damien Wilkins,PHI,33,198.12,61,6.4,1.7,1.5
7369,Damion James,BKN,25,200.66,2,0,0.5,0
7370,Daniel Gibson,CLE,27,187.96,46,5.4,1.3,1.8
7371,Daniel Orton,OKC,22,208.28,13,2.5,2,0.3
7372,Danilo Gallinari,DEN,24,208.28,71,16.2,5.2,2.5
7373,Danny Granger,IND,30,203.2,5,5.4,1.8,0.6
7374,Danny Green,SAS,26,198.12,80,10.5,3.1,1.8
7375,Dante Cunningham,MIN,26,203.2,80,8.7,5.1,0.8
7376,Darius Johnson-Odom,LAL,23,187.96,4,0,1,0.3
7377,Darius Miller,NOH,23,203.2,52,2.3,1.5,0.8
7378,Dahntay Jones,ATL,32,198.12,78,3.4,1.3,0.6
7379,Patrick Beverley,HOU,24,185.42,41,5.6,2.7,2.9
7380,Pablo Prigioni,NYK,36,190.5,78,3.5,1.8,3
7381,PJ Tucker,PHX,28,198.12,79,6.4,4.4,1.4
7382,Jeremy Lin,HOU,24,190.5,82,13.4,3,6.1
7383,Jeremy Lamb,OKC,21,195.58,23,3.1,0.8,0.2
7384,Jeremy Evans,UTA,25,205.74,37,2,1.6,0.3
7385,Jeffery Taylor,CHA,24,200.66,77,6.1,1.9,0.8
7386,Jeff Teague,ATL,25,187.96,80,14.6,2.3,7.2
7387,Jeff Green,BOS,26,205.74,81,12.8,3.9,1.6
7388,Jeff Ayres,IND,26,205.74,37,3.9,2.8,0.4
7389,Jeff Adrien,CHA,27,201,52,4,3.8,0.7
7390,Jason Thompson,SAC,26,210.82,82,10.9,6.7,1
7391,Jason Terry,BOS,35,187.96,79,10.1,2,2.5
7392,Jason Smith,NOH,27,213.36,51,8.2,3.6,0.7
7393,Jeremy Pargo,PHI,27,187.96,39,6.8,1.3,2.4
7394,Jason Richardson,PHI,32,198.12,33,10.5,3.8,1.5
7395,Jason Kidd,NYK,40,193.04,76,6,4.3,3.3
7396,Jason Collins,WAS,34,213.36,38,1.1,1.6,0.2
7397,Jarvis Varnado,MIA,25,205.74,13,0.6,0.7,0.2
7398,Jarrett Jack,GSW,29,190.5,79,12.9,3.1,5.6
7399,Jared Sullinger,BOS,21,205.74,45,6,5.9,0.8
7400,Jared Jeffries,POR,31,210.82,38,1.2,1.6,0.4
7401,Jared Dudley,PHX,27,200.66,79,10.9,3.1,2.6
7402,Jared Cunningham,DAL,22,193.04,8,2,0.4,0.1
7403,Jannero Pargo,CHA,33,185.42,32,6.5,1.1,2.1
7404,Jan Vesely,WAS,23,210.82,51,2.5,2.4,0.5
7405,James White,NYK,30,200.66,57,2.2,0.8,0.5
7406,Jason Maxiell,DET,30,200.66,72,6.9,5.7,0.8
7407,James Jones,MIA,32,203.2,38,1.6,0.6,0.3
7408,Jeremy Tyler,ATL,22,208.28,21,1,1,0
7409,Jerry Stackhouse,BKN,38,198.12,37,4.9,0.9,0.9
7410,Josh Childress,BKN,30,203.2,14,1,1.1,0.4
7411,Josh Akognon,DAL,27,180.34,3,1.7,0.3,0.3
7412,Jose Calderon,DET,31,190.5,73,11.3,2.4,7.1
7413,Jordan Hill,LAL,25,208.28,29,6.7,5.7,0.4
7414,Jordan Hamilton,DEN,22,200.66,40,5.2,2.4,0.6
7415,Jordan Crawford,BOS,24,193.04,70,11.6,3,3.2
7416,Jonas Valanciunas,TOR,21,210.82,62,8.9,6,0.7
7417,Jonas Jerebko,DET,26,208.28,49,7.7,3.8,0.9
7418,Jon Leuer,MEM,24,208.28,28,2,1.3,0.3
7419,John Wall,WAS,22,193.04,49,18.5,4,7.6
7420,John Salmons,SAC,33,198.12,76,8.8,2.7,3
7421,Jermaine O'Neal,PHX,34,210.82,55,8.3,5.3,0.8
7422,John Lucas III,TOR,30,180.34,63,5.3,1,1.7
7423,John Henson,MIL,22,210.82,63,6,4.7,0.5
7424,Johan Petro,ATL,27,213.36,31,3.5,3.6,0.5
7425,Joel Przybilla,MIL,33,215.9,12,0.2,1.8,0.3
7426,Joel Freeland,POR,26,208.28,51,2.6,2.3,0.3
7427,Joel Anthony,MIA,30,205.74,62,1.4,1.9,0.2
7428,Joe Johnson,BKN,32,200.66,72,16.3,3,3.5
7429,Jodie Meeks,LAL,25,193.04,78,7.9,2.2,0.9
7430,Joakim Noah,CHI,28,210.82,66,11.9,11.1,4
7431,Jimmy Butler,CHI,23,200.66,82,8.6,4,1.4
7432,Jimmer Fredette,SAC,24,187.96,69,7.2,1,1.3
7433,Jerryd Bayless,MEM,24,190.5,80,8.7,2.2,3.3
7434,John Jenkins,ATL,22,193.04,61,6.1,1.5,0.9
7435,Josh Harrellson,MIA,24,208.28,6,1.7,1.2,0
7436,James Johnson,SAC,26,205.74,54,5.1,2.7,1.1
7437,James Anderson,HOU,24,198.12,39,3.8,1.8,1.1
7438,Glen Davis,ORL,27,205.74,34,15.1,7.2,2.1
7439,Gerald Wallace,BKN,30,200.66,69,7.7,4.6,2.6
7440,Gerald Henderson,CHA,25,195.58,68,15.5,3.7,2.6
7441,Gerald Green,IND,27,203.2,60,7,2.4,0.8
7442,George Hill,IND,27,187.96,76,14.2,3.7,4.7
7443,Gary Neal,SAS,28,193.04,68,9.5,2.1,1.9
7444,Garrett Temple,WAS,27,198.12,51,5.1,2.4,2.3
7445,Francisco Garcia,HOU,31,200.66,58,5.5,1.6,1.1
7446,Festus Ezeli,GSW,23,210.82,78,2.4,4,0.3
7447,Fab Melo,BOS,23,213.36,6,1.2,0.5,0
7448,Evan Turner,PHI,24,200.66,82,13.3,6.3,4.3
7449,Goran Dragic,PHX,27,190.5,77,14.7,3.1,7.4
7450,Evan Fournier,DEN,20,198.12,38,5.3,0.9,1.2
7451,Eric Maynor,POR,26,190.5,64,4.5,0.7,2.8
7452,Eric Gordon,NOH,24,190.5,42,17,1.8,3.3
7453,Eric Bledsoe,LAC,23,185.42,76,8.5,3,3.1
7454,Enes Kanter,UTA,21,210.82,70,7.2,4.3,0.4
7455,Emeka Okafor,WAS,30,208.28,79,9.7,8.8,1.2
7456,Elton Brand,DAL,34,205.74,72,7.2,6,1
7457,Ekpe Udoh,MIL,26,208.28,76,4.3,3.3,0.6
7458,Eddy Curry,DAL,30,213.36,2,4.5,2,0
7459,Ed Davis,MEM,24,208.28,81,7.7,5.7,0.8
7460,Earl Watson,UTA,34,185.42,48,2,1.8,4
7461,Earl Clark,LAL,25,208.28,59,7.3,5.5,1.1
7462,Ersan Ilyasova,MIL,26,208.28,73,13.2,7.1,1.6
7463,James Harden,HOU,23,195.58,78,25.9,4.9,5.8
7464,Gordon Hayward,UTA,23,203.2,72,14.1,3.1,3
7465,Greg Monroe,DET,23,210.82,81,16,9.6,3.5
7466,Jameer Nelson,ORL,31,182.88,56,14.7,3.7,7.4
7467,Jamal Crawford,LAC,33,195.58,76,16.5,1.7,2.5
7468,Jamaal Tinsley,UTA,35,190.5,66,3.5,1.7,4.4
7469,Jae Crowder,DAL,22,198.12,78,5,2.4,1.2
7470,JaVale McGee,DEN,25,213.36,79,9.1,4.8,0.3
7471,JR Smith,NYK,27,198.12,80,18.1,5.3,2.7
7472,JJ Redick,MIL,29,193.04,78,14.1,2.2,3.8
7473,JJ Hickson,POR,24,205.74,80,12.7,10.4,1.1
7474,J.J. Barea,MIN,29,182.88,74,11.3,2.8,4
7475,Ivan Johnson,ATL,29,203.2,69,6.6,3.9,0.7
7476,Ish Smith,MIL,24,182.88,52,2.4,1.2,1.7
7477,Grant Hill,LAC,40,203.2,29,3.2,1.7,0.9
7478,Isaiah Thomas,SAC,24,175.26,79,13.9,2,4
7479,Ian Mahinmi,IND,26,210.82,80,5,3.9,0.3
7480,Henry Sims,NOH,23,208.28,2,2,1,0
7481,Hedo Turkoglu,ORL,34,208.28,11,2.9,2.4,2.1
7482,Hasheem Thabeet,OKC,26,220.98,66,2.4,3,0.2
7483,Harrison Barnes,GSW,21,203.2,81,9.2,4.1,1.2
7484,Hamed Haddadi,PHX,28,218.44,30,2.8,3.7,0.4
7485,Hakim Warrick,CHA,30,205.74,28,6.9,3.2,0.9
7486,Gustavo Ayon,MIL,28,208.28,55,3.7,3.6,1.3
7487,Greivis Vasquez,NOH,26,198.12,78,13.9,4.3,9
7488,Greg Stiemsma,MIN,27,210.82,76,4,3.4,0.4
7489,Greg Smith,HOU,22,208.28,70,6,4.6,0.4
7490,Iman Shumpert,NYK,23,195.58,45,6.8,3,1.7
7491,Josh Howard,MIN,33,200.66,11,6.7,3.3,0.4
7492,Josh McRoberts,CHA,26,208.28,67,6,4.9,2.1
7493,Josh Selby,MEM,22,187.96,10,2,0.5,0.4
7494,Meyers Leonard,POR,21,215.9,69,5.5,3.7,0.5
7495,Metta World Peace,LAL,33,200.66,75,12.4,5,1.5
7496,Maurice Harkless,ORL,20,203.2,76,8.2,4.4,0.7
7497,Matt Carroll,CHA,32,198.12,1,0,0,1
7498,Matt Bonner,SAS,33,208.28,68,4.2,1.9,0.5
7499,Matt Barnes,LAC,33,200.66,80,10.3,4.6,1.5
7500,Marvin Williams,UTA,27,205.74,73,7.2,3.6,1.1
7501,Martell Webster,WAS,26,200.66,76,11.4,3.9,1.9
7502,Marreese Speights,CLE,25,208.28,79,8.3,4.9,0.6
7503,Marquis Teague,CHI,20,187.96,48,2.1,0.9,1.3
7504,Marquis Daniels,MIL,32,198.12,59,5.5,2.5,1.1
7505,Michael Beasley,PHX,24,208.28,75,10.1,3.8,1.5
7506,Markieff Morris,PHX,23,208.28,82,8.2,4.8,1.3
7507,Marcus Thornton,SAC,26,193.04,72,12.7,2.5,1.3
7508,Marcus Morris,PHX,23,205.74,77,7.7,3.6,0.8
7509,Marcus Camby,NYK,39,210.82,24,1.8,3.3,0.6
7510,Marco Belinelli,CHI,27,195.58,73,9.6,1.9,2
7511,Marcin Gortat,PHX,29,210.82,61,11.1,8.5,1.2
7512,Marc Gasol,MEM,28,215.9,80,14.1,7.8,4
7513,MarShon Brooks,BKN,24,195.58,73,5.4,1.4,1
7514,Manu Ginobili,SAS,35,198.12,60,11.8,3.4,4.6
7515,Malcolm Thomas,CHI,24,205.74,12,1.3,1.3,0.3
7516,Malcolm Lee,MIN,23,195.58,16,4.9,2.4,1.3
7517,Maalik Wayns,LAC,22,185.42,27,2.8,0.3,1
7518,Mario Chalmers,MIA,27,187.96,77,8.6,2.2,3.5
7519,Luol Deng,CHI,28,205.74,75,16.5,6.3,3
7520,Michael Kidd-Gilchrist,CHA,19,200.66,78,9,5.8,1.5
7521,Mickael Pietrus,TOR,31,198.12,19,5.3,1.9,0.5
7522,Orlando Johnson,IND,24,195.58,51,4,2.2,0.9
7523,Omri Casspi,CLE,25,205.74,43,4,2.7,0.7
7524,Omer Asik,HOU,26,213.36,82,10.1,11.7,0.9
7525,O.J. Mayo,DAL,25,193.04,82,15.3,3.5,4.4
7526,Norris Cole,MIA,24,187.96,80,5.6,1.6,2.1
7527,Nolan Smith,POR,24,187.96,40,2.8,0.7,0.9
7528,Nikola Vucevic,ORL,22,213.36,77,13.1,11.9,1.9
7529,Nikola Pekovic,MIN,27,210.82,62,16.3,8.8,0.9
7530,Nicolas Batum,POR,24,203.2,73,14.3,5.6,4.9
7531,Nick Young,PHI,28,200.66,59,10.6,2.2,1.4
7532,Nick Collison,OKC,32,208.28,81,5.1,4.1,1.5
7533,Mickael Gelabale,MIN,30,200.66,36,5,2.8,0.7
7534,Nene,WAS,30,210.82,61,12.6,6.7,2.9
7535,Nate Robinson,CHI,29,175.26,82,13.1,2.2,4.4
7536,Nando De Colo,SAS,26,195.58,72,3.8,1.9,1.9
7537,Monta Ellis,MIL,27,190.5,82,19.2,3.9,6
7538,Mo Williams,UTA,30,185.42,46,12.9,2.4,6.2
7539,Mirza Teletovic,BKN,27,205.74,53,3.5,1.8,0.4
7540,Miles Plumlee,IND,24,210.82,14,0.9,1.6,0.1
7541,Mike Scott,ATL,24,203.2,40,4.6,2.8,0.3
7542,Mike Miller,MIA,33,203.2,59,4.8,2.7,1.7
7543,Mike James,DAL,38,187.96,45,6.1,1.6,3.1
7544,Mike Dunleavy,MIL,32,205.74,75,10.5,3.9,1.9
7545,Mike Conley,MEM,25,185.42,80,14.6,2.8,6.1
7546,Nazr Mohammed,CHI,35,208.28,63,2.6,3.1,0.4
7547,Luke Zeller,PHX,26,210.82,16,1.2,0.6,0.2
7548,Luke Walton,CLE,33,203.2,50,3.4,2.9,3.3
7549,Luke Ridnour,MIN,32,187.96,82,11.5,2.5,3.8
7550,Kim English,DET,24,198.12,41,2.9,0.9,0.6
7551,Khris Middleton,DET,21,200.66,27,6.1,1.9,1
7552,Keyon Dooling,MEM,33,190.5,7,4.4,0.1,1.1
7553,Kevin Seraphin,WAS,23,205.74,79,9.1,4.4,0.7
7554,Kevin Murphy,UTA,23,198.12,17,0.9,0.2,0.1
7555,Kevin Martin,OKC,30,200.66,77,14,2.3,1.4
7556,Kevin Love,MIN,24,208.28,18,18.3,14,2.3
7557,Kevin Jones,CLE,23,203.2,32,3,2.4,0.3
7558,Kevin Garnett,BOS,37,210.82,68,14.8,7.8,2.3
7559,Kevin Durant,OKC,24,205.74,81,28.1,7.9,4.6
7560,Kenyon Martin,NYK,35,205.74,18,7.2,5.3,0.4
7561,Kirk Hinrich,CHI,32,193.04,60,7.7,2.6,5.2
7562,Kent Bazemore,GSW,23,195.58,61,2,0.4,0.4
7563,Kendrick Perkins,OKC,28,208.28,78,4.2,6,1.4
7564,Kendall Marshall,PHX,21,193.04,48,3,0.9,3
7565,Kemba Walker,CHA,23,185.42,82,17.7,3.5,5.7
7566,Keith Bogans,BKN,33,195.58,74,4.2,1.6,1
7567,Kawhi Leonard,SAS,22,200.66,58,11.9,6,1.6
7568,Juwan Howard,MIA,40,205.74,7,3,1.1,0.9
7569,Justin Holiday,PHI,24,198.12,9,4.7,1.6,1.7
7570,Justin Dentmon,DAL,27,180.34,2,0,0,0
7571,Julyan Stone,DEN,24,198.12,4,1.8,0.8,0.5
7572,Jrue Holiday,PHI,23,193.04,78,17.7,4.2,8
7573,Josh Smith,ATL,27,205.74,76,17.5,8.4,4.2
7574,Kenneth Faried,DEN,23,203.2,80,11.5,9.2,1
7575,Klay Thompson,GSW,23,200.66,82,16.6,3.7,2.2
7576,Kobe Bryant,LAL,34,198.12,78,27.3,5.6,6
7577,Kosta Koufos,DEN,24,213.36,81,8,6.9,0.4
7578,Luke Babbitt,POR,24,205.74,62,3.9,2.2,0.5
7579,Luis Scola,PHX,33,205.74,82,12.8,6.6,2.2
7580,Luc Mbah a Moute,MIL,26,203.2,58,6.7,4.4,0.9
7581,Lou Williams,ATL,26,185.42,39,14.1,2.1,3.6
7582,Lou Amundson,NOH,30,205.74,39,1.9,2.7,0.3
7583,Linas Kleiza,TOR,28,203.2,20,7.4,2.6,0.8
7584,Leandro Barbosa,BOS,30,190.5,41,5.2,1.1,1.4
7585,LeBron James,MIA,28,203.2,76,26.8,8,7.3
7586,Lazar Hayward,MIN,26,198.12,4,2.5,1,0.8
7587,Lavoy Allen,PHI,24,205.74,79,5.8,5,0.9
7588,Larry Sanders,MIL,24,210.82,71,9.8,9.5,1.2
7589,Landry Fields,TOR,25,200.66,51,4.7,4.1,1.2
7590,Lance Thomas,NOH,25,203.2,59,2.5,1.9,0.3
7591,Lance Stephenson,IND,22,195.58,78,8.8,3.9,2.9
7592,Lamar Odom,LAC,33,208.28,82,4,5.9,1.7
7593,LaMarcus Aldridge,POR,27,210.82,74,21.1,9.1,2.6
7594,Kyrie Irving,CLE,21,190.5,59,22.5,3.7,5.9
7595,Kyle Singler,DET,25,203.2,82,8.8,4,0.9
7596,Kyle O'Quinn,ORL,23,208.28,57,4.1,3.7,0.9
7597,Kyle Lowry,TOR,27,182.88,68,11.6,4.7,6.4
7598,Kyle Korver,ATL,32,200.66,74,10.9,4,2
7599,Kwame Brown,PHI,31,210.82,22,1.9,3.4,0.4
7600,Kurt Thomas,NYK,40,205.74,39,2.5,2.3,0.5
7601,Kris Joseph,BKN,24,200.66,10,0.9,0.7,0.1
7602,Kris Humphries,BKN,28,205.74,65,5.8,5.6,0.5
7603,Andrew Goudelock,LAL,24,190.5,1,0,1,0
7604,Andrew Bogut,GSW,28,213.36,32,5.8,7.7,2.1
7605,Randy Foye,UTA,29,193.04,82,10.8,1.5,2
7606,Al Jefferson,UTA,28,208.28,78,17.8,9.2,2.1
7607,Andrei Kirilenko,MIN,32,205.74,64,12.4,5.7,2.8
7608,Andrea Bargnani,TOR,27,213.36,35,12.7,3.7,1.1
7609,Andre Miller,DEN,37,187.96,82,9.6,2.9,5.9
7610,Andre Drummond,DET,19,208.28,60,7.9,7.6,0.5
7611,Andray Blatche,BKN,26,210.82,82,10.3,5.1,1
7612,Anderson Varejao,CLE,30,210.82,25,14.1,14.4,3.4
7613,Amir Johnson,TOR,26,205.74,81,10,7.5,1.5
7614,Amar'e Stoudemire,NYK,30,210.82,29,14.2,5,0.4
7615,Andre Iguodala,DEN,29,198.12,80,13,5.3,5.4
7616,Alexey Shved,MIN,24,198.12,77,8.6,2.3,3.7
7617,Alec Burks,UTA,21,198.12,64,7,2.3,1.4
7618,Alan Anderson,TOR,30,198.12,65,10.7,2.3,1.6
7619,Al-Farouq Aminu,NOH,22,205.74,76,7.3,7.7,1.4
7620,E'Twaun Moore,ORL,24,193.04,75,7.8,2.2,2.7
7621,Al Horford,ATL,27,208.28,74,17.4,10.2,3.2
7622,Al Harrington,ORL,33,205.74,10,5.1,2.7,1
7623,Aaron Gray,TOR,28,213.36,42,2.8,3.2,0.8
7624,Alonzo Gee,CLE,26,198.12,82,10.3,3.9,1.6
7625,Hedo Turkoglu,LAC,35,208.28,38,3,2.3,0.9
7626,Hasheem Thabeet,OKC,27,220.98,23,1.2,1.7,0
7627,Harrison Barnes,GSW,22,203.2,78,9.5,4,1.5
7628,Hamady Ndiaye,SAC,27,213.36,14,0.4,1.3,0.2
7629,Gustavo Ayon,ATL,29,208.28,26,4.3,4.8,1.1
7630,Greg Oden,MIA,26,213.36,23,2.9,2.3,0
7631,Greg Stiemsma,NOP,28,210.82,55,2.9,4.1,0.7
7632,Greg Smith,HOU,23,208.28,11,3.5,2.5,0
7633,Greg Monroe,DET,24,210.82,82,15.2,9.3,2.1
7634,Henry Sims,PHI,24,208.28,46,7.6,5.2,1.1
7635,Greivis Vasquez,TOR,27,198.12,79,9.6,2.2,4.1
7636,Hilton Armstrong,GSW,29,210.82,15,1.7,3.1,0.3
7637,JJ Redick,LAC,30,193.04,35,15.2,2.1,2.2
7638,Ian Clark,UTA,23,190.5,23,3,0.8,0.7
7639,Ian Mahinmi,IND,27,210.82,77,3.5,3.3,0.3
7640,Iman Shumpert,NYK,24,195.58,74,6.7,4.2,1.7
7641,Isaiah Canaan,HOU,23,182.88,22,4.6,1.1,1
7642,Isaiah Thomas,SAC,25,175.26,72,20.3,2.9,6.3
7643,Ish Smith,PHX,25,182.88,70,3.7,1.8,2.6
7644,J.J. Barea,MIN,30,182.88,79,8.4,1.9,3.8
7645,JJ Hickson,DEN,25,205.74,69,11.8,9.2,1.4
7646,Gorgui Dieng,MIN,24,210.82,60,4.8,5,0.7
7647,JR Smith,NYK,28,198.12,74,14.5,4,3
7648,JaVale McGee,DEN,26,213.36,5,7,3.4,0.4
7649,Jae Crowder,DAL,23,198.12,78,4.6,2.5,0.8
7650,Hollis Thompson,PHI,23,203.2,77,6,3.2,0.9
7651,Gordon Hayward,UTA,24,203.2,77,16.2,5.1,5.2
7652,George Hill,IND,28,190.5,76,10.3,3.7,3.5
7653,Glen Rice,WAS,23,198.12,11,2.9,1.8,0.6
7654,Earl Watson,POR,35,185.42,24,0.5,0.6,1.2
7655,Ed Davis,MEM,25,208.28,63,5.7,4.1,0.4
7656,Ekpe Udoh,MIL,27,208.28,42,3.4,3.5,0.7
7657,Elias Harris,LAL,24,203.2,2,0,0.5,0.5
7658,Elliot Williams,PHI,25,196,67,6,1.9,1.1
7659,Elton Brand,ATL,35,205.74,73,5.7,4.9,1
7660,Enes Kanter,UTA,22,210.82,80,12.3,7.5,0.9
7661,Eric Bledsoe,PHX,24,185.42,43,17.7,4.7,5.5
7662,Eric Gordon,NOP,25,193.04,64,15.4,2.6,3.3
7663,Eric Maynor,PHI,27,190.5,31,2.6,1.3,1.7
7664,Erik Murphy,CHI,23,208.28,24,0.3,0.3,0.1
7665,Ersan Ilyasova,MIL,27,208.28,55,11.2,6.2,1.3
7666,Evan Fournier,DEN,21,198.12,76,8.4,2.7,1.5
7667,Evan Turner,IND,25,200.66,81,14,5,3.2
7668,Francisco Garcia,HOU,32,200.66,55,5.7,2.2,1.1
7669,Gal Mekel,DAL,26,190.5,31,2.4,0.9,2
7670,Garrett Temple,WAS,28,198.12,75,1.8,0.9,1
7671,Gary Neal,CHA,29,193.04,52,10.5,1.7,1.6
7672,Jamaal Franklin,MEM,22,195.58,21,1.9,1.1,0.3
7673,Gerald Green,PHX,28,203.2,82,15.8,3.4,1.5
7674,Gerald Henderson,CHA,26,195.58,77,14,4,2.6
7675,Gerald Wallace,BOS,31,200.66,58,5.1,3.7,2.5
7676,Giannis Antetokounmpo,MIL,19,205.74,77,6.8,4.4,1.9
7677,Gigi Datome,DET,26,203.2,34,2.4,1.4,0.3
7678,Glen Davis,LAC,28,205.74,68,9.4,5.2,1.1
7679,Goran Dragic,PHX,28,190.5,76,20.3,3.2,5.9
7680,Jamaal Tinsley,UTA,36,190.5,8,1.1,1.4,2.9
7681,Jan Vesely,DEN,24,213.36,54,3.6,3.5,0.4
7682,Jameer Nelson,ORL,32,182.88,68,12.1,3.4,7
7683,Jerryd Bayless,BOS,25,190.5,72,9.3,2,2.7
7684,Jimmer Fredette,CHI,25,187.96,49,5.6,1.1,1.3
7685,Jimmy Butler,CHI,24,200.66,67,13.1,4.9,2.6
7686,Joakim Noah,CHI,29,210.82,80,12.6,11.3,5.4
7687,Jodie Meeks,LAL,26,193.04,77,15.7,2.5,1.8
7688,Joe Johnson,BKN,33,200.66,79,15.8,3.4,2.7
7689,Joel Anthony,BOS,31,205.74,33,0.8,1.2,0.1
7690,Joel Freeland,POR,27,208.28,52,3.3,4,0.7
7691,John Henson,MIL,23,210.82,70,11.1,7.1,1.6
7692,John Jenkins,ATL,23,193.04,13,3.1,1.7,0.8
7693,John Lucas III,UTA,31,180.34,42,3.8,0.9,1
7694,John Salmons,TOR,34,198.12,78,5.2,2.1,1.9
7695,John Wall,WAS,23,193.04,82,19.3,4.1,8.8
7696,Jon Leuer,MEM,25,208.28,49,6.2,3.2,0.4
7697,Jonas Jerebko,DET,27,208.28,64,4.2,2.7,0.6
7698,Jonas Valanciunas,TOR,22,210.82,81,11.3,8.8,0.7
7699,Jordan Crawford,GSW,25,193.04,81,11,2.3,3.5
7700,Jordan Farmar,LAL,27,187.96,41,10.1,2.5,4.9
7701,Jordan Hamilton,HOU,23,200.66,60,6.7,3.2,0.9
7702,Jordan Hill,LAL,26,208.28,72,9.7,7.4,0.8
7703,Jorge Gutierrez,BKN,25,190.5,15,4.1,1.5,2
7704,Jose Calderon,DAL,32,190.5,81,11.4,2.4,4.7
7705,Josh Childress,NOP,31,203.2,4,0,0.8,0.5
7706,Josh Harrellson,DET,25,208.28,32,2.9,2.4,0.5
7707,Josh McRoberts,CHA,27,208.28,78,8.5,4.8,4.3
7708,Jermaine O'Neal,GSW,35,210.82,44,7.9,5.5,0.6
7709,Jamal Crawford,LAC,34,195.58,69,18.6,2.3,3.2
7710,Jeremy Tyler,NYK,23,208.28,41,3.6,2.7,0.2
7711,Jeremy Lamb,OKC,22,195.58,78,8.5,2.4,1.5
7712,James Anderson,PHI,25,198.12,80,10.1,3.8,1.9
7713,James Harden,HOU,24,195.58,73,25.4,4.7,6.1
7714,James Johnson,MEM,27,205.74,52,7.4,3.2,2.1
7715,James Jones,MIA,33,203.2,20,4.9,1.2,0.5
7716,James Nunnally,PHI,23,200.66,13,3.4,1.5,0.6
7717,James Southerland,NOP,24,203.2,4,3.5,2,0
7718,Earl Clark,NYK,26,208.28,54,4.8,2.6,0.3
7719,Jannero Pargo,CHA,34,185.42,29,4.7,0.7,1.8
7720,Jared Cunningham,SAC,23,193.04,13,2,0.5,0.6
7721,Jared Dudley,LAC,28,200.66,74,6.9,2.2,1.4
7722,Jared Sullinger,BOS,22,205.74,74,13.3,8.1,1.6
7723,Jarrett Jack,CLE,30,190.5,80,9.5,2.8,4.1
7724,Jarvis Varnado,PHI,26,205.74,24,4.1,2.6,0.5
7725,Jason Collins,BKN,35,213.36,22,1.1,0.9,0.2
7726,Jason Maxiell,ORL,31,200.66,34,3.2,2.5,0.3
7727,Jason Smith,NOP,28,213.36,31,9.7,5.8,0.9
7728,Jason Terry,BKN,36,187.96,35,4.5,1.1,1.6
7729,Jason Thompson,SAC,27,210.82,82,7.1,6.4,0.6
7730,Jeff Adrien,MIL,28,201,53,6.8,5.8,0.7
7731,Jeff Ayres,SAS,27,205.74,73,3.3,3.5,0.8
7732,Jeff Green,BOS,27,205.74,82,16.9,4.6,1.7
7733,Jeff Teague,ATL,26,187.96,79,16.5,2.6,6.7
7734,Jeff Withey,NOP,24,213.36,58,3.3,2.6,0.4
7735,Jeffery Taylor,CHA,25,200.66,26,8,2.3,0.8
7736,Jeremy Evans,UTA,26,205.74,66,6.1,4.7,0.7
7737,Jeremy Lin,HOU,25,190.5,71,12.5,2.6,4.1
7738,E'Twaun Moore,ORL,25,193.04,79,6.3,1.7,1.4
7739,Donald Sloan,IND,26,190.5,48,2.3,0.9,1
7740,Dwight Howard,HOU,28,210.82,71,18.3,12.2,1.8
7741,Brandan Wright,DAL,26,208.28,58,9.1,4.2,0.5
7742,Brandon Bass,BOS,29,203.2,82,11.1,5.7,1.1
7743,Brandon Davies,PHI,22,208.28,51,2.8,2.1,0.5
7744,Brandon Jennings,DET,24,185.42,80,15.5,3.1,7.6
7745,Brandon Knight,MIL,22,190.5,72,17.9,3.5,4.9
7746,Brandon Rush,UTA,28,198.12,38,2.1,1.2,0.6
7747,Brian Roberts,NOP,28,185.42,72,9.4,1.9,3.3
7748,Brook Lopez,BKN,26,213.36,17,20.7,6,0.9
7749,Byron Mullens,PHI,25,213.36,45,4.2,2,0.3
7750,C.J. Watson,IND,30,187.96,63,6.6,1.6,1.7
7751,CJ McCollum,POR,22,193.04,38,5.3,1.3,0.7
7752,CJ Miles,CLE,27,198.12,51,9.9,2,1
7753,Carl Landry,SAC,30,205.74,18,4.2,3.2,0.3
7754,Carlos Boozer,CHI,32,205.74,76,13.7,8.3,1.6
